Data,Valore patrimoniale netto (USD)
20 novembre 2023,"113,2932 dollari USA"
17 novembre 2023,"112,5166 dollari USA"
16 novembre 2023,"112,1659 dollari USA"
15 novembre 2023,"112,2268 dollari USA"
14 novembre 2023,"111,5119 dollari USA"
13 novembre 2023,"109,4514 dollari USA"
10 novembre 2023,"109,2707 dollari USA"
09 novembre 2023,108.6494 $US
08 novembre 2023,108.9406 $US
07 novembre 2023,108.9486 $US
06 novembre 2023,109.1439 $US
03 novembre 2023,108.6882 $US
02 novembre 2023,107.4286 $ USA
01 nov. 2023,105.4186 $ USA
31 ottobre 2023,104.4210 $US
30 ottobre 2023,104.1382 $US
27 ottobre 2023,103.2732 $ USA
26 ottobre 2023,103.4236 $ USA
25 ottobre 2023,104.5850 $US
24 ottobre 2023,105.5332 $US
23 ottobre 2023,104.9945 $US
20 ottobre 2023,105.2481 $US
19 ottobre 2023,106.4137 $ USA
18 ottobre 2023,107.4683 $ USA
17 ottobre 2023,108.7697 $ USA
16 ottobre 2023,108.6008 $US
13 ottobre 2023,107.9226 $US
12 ottobre 2023,108.8138 $US
11 ottobre 2023,109.2218 $US
10 ottobre 2023,108.6925 $US
09 ottobre 2023,107.5821 $US
06 ottobre 2023,107.1800 $ USA
05 ottobre 2023,106.1407 $ USA
04 ottobre 2023,105.8923 $US
03 ottobre 2023,105.7057 $US
02 ottobre 2023,107.1691 $US
29 settembre 2023,107.6645 $US
28 settembre 2023,107.6393 $US
27 settembre 2023,107.1587 $ USA
26 settembre 2023,107.2871 $US
25 settembre 2023,108.5567 $ USA
22 settembre 2023,108.6634 $US
21 settembre 2023,108.7817 $ USA
20 settembre 2023,110.6125 $US
19 settembre 2023,$ 111.1460 USD
18 settembre 2023,"$ 111,3145 USD"
15 settembre 2023,"$ 111,5924 USD"
14 settembre 2023,"$ 112,2628 USD"
13 settembre 2023,"$ 111,7546 USD"
12 settembre 2023,$ 111.7240 USD
11 settembre 2023,$ 112.1924 USD
8 settembre 2023,$ 111.4456 USD
7 settembre 2023,$ 111.3881 USD
6 settembre 2023,"$ 111,7445 USD"
5 settembre 2023,"$ 112,3631 USD"
4 settembre 2023,$ 113.0243 USD
1 settembre 2023,"$ 112,8748 USD"
31 agosto 2023,$ 112.6819 USD
30 agosto 2023,"$ 112,9447 USD"
29 agosto 2023,"$ 112,3837 USD"
28 agosto 2023,$ 110.9410 USD
25 agosto 2023,$ 110.0635 USD
24 agosto 2023,$ 110.0209 USD
23 agosto 2023,"$ 110,8943 USD"
22 agosto 2023,"$ 109,8999 USD"
21 agosto 2023,$ 109.8304 USD
18 agosto 2023,$ 109.4744 USD
17 agosto 2023,"$ 109,7367 USD"
16 agosto 2023,$ 110.5377 USD
15 agosto 2023,$ 111.3600 USD
14 agosto 2023,$ 112.3220 USD
11 agosto 2023,$ 112.3410 USD
10 agosto 2023,"$ 112,8766 USD"
9 agosto 2023,$ 112.5493 USD
8 agosto 2023,"$ 112,8584 USD"
7 agosto 2023,$ 113.5350 USD
4 agosto 2023,"$ 112,9710 USD"
3 agosto 2023,$ 113.0219 USD
2 agosto 2023,$ 113.4141 USD
1 agosto 2023,$ 115.2944 USD
31 luglio 2023,$ 115.8570 USD
28 luglio 2023,115.5968 USD
27 luglio 2023,$ 114.7243 USD
26 luglio 2023,$ 115.0108 USD
25 luglio 2023,"$ 115,0365 USD"
24 luglio 2023,$ 114.5391 USD
21 luglio 2023,$ 114.2430 USD
20 luglio 2023,$ 114.3307 USD
19 luglio 2023,"$ 114,9441 USD"
18 luglio 2023,$ 114.7990 USD
17 luglio 2023,$ 114.1663 USD
14 luglio 2023,$ 114.0665 USD
13 luglio 2023,$ 114.0193 USD
12 luglio 2023,$ 112.7407 USD
11 luglio 2023,"$ 111,4525 USD"
10 luglio 2023,$ 110.5396 USD
7 luglio 2023,$ 110.3268 USD
6 luglio 2023,$ 110.3678 USD
5 luglio 2023,"$ 111,7586 USD"
4 luglio 2023,$ 112.1919 USD
3 luglio 2023,"112,1659 dollari USA"
30 giugno 2023,"$ 111,7706 USD"
29 giugno 2023,$ 110.6420 USD
28 giugno 2023,$ 110.3995 USD
27 giugno 2023,"$ 110,2925 USD"
26 giugno 2023,$ 109.3603 USD
23 giugno 2023,"$ 109,6424 USD"
22 giugno 2023,$ 110.7072 USD
21 giugno 2023,$ 110.6641 USD
20 giugno 2023,$ 111.1565 USD
19 giugno 2023,"$ 111,7924 USD"
16 giugno 2023,$ 112.1260 USD
15 giugno 2023,$ 112.1869 USD
14 giugno 2023,"$ 111,8985 USD"
13 giugno 2023,$ 111.5093 USD
12 giugno 2023,$ 110.5849 USD
9 giugno 2023,"$ 109,9065 USD"
8 giugno 2023,"$ 109,6746 USD"
7 giugno 2023,$ 109.1688 USD
6 giugno 2023,"109,4684 USA"
5 giugno 2023,"$ 109,1915 USA"
2 giugno 2023,"$ 109,2442 USA"
1 giugno 2023,"$ 107,5734 USA"
31 maggio 2023,"$ 106,4515 USA"
30 maggio 2023,"$ 107,4234 USA"
29 maggio 2023,"$ 107,5706 USA"
26 maggio 2023,"$ 107,4898 USA"
25 maggio 2023,"$ 106,3592 USA"
24 maggio 2023,"$ 106,1831 USA"
23 maggio 2023,"$ 107,2296 USA"
22 maggio 2023,"$ 108,2494 USA"
19 maggio 2023,"$ 108,0615 USA"
18 maggio 2023,"$ 107,9605 USA"
17 maggio 2023,"$ 107,2782 USA"
16 maggio 2023,"$106,7073 USA"
15 maggio 2023,"$ 107,2320 USA"
12 maggio 2023,"$ 106,8213 USA"
11 maggio 2023,"$ 107,0411 USA"
10 maggio 2023,"$107,3018 USA"
9 maggio 2023,"$ 107,0858 USA"
8 maggio 2023,"$ 107,5557 USA"
5 maggio 2023,"$ 107,2618 USA"
4 maggio 2023,"$ 105,7961 USA"
3 maggio 2023,"$106,2313 USA"
2 maggio 2023,"$ 106,4822 USA"
1 maggio 2023,"$ 107,5137 USA"
28 aprile 2023,"$ 107,5903 USA"
27 aprile 2023,"$ 106,8201 USA"
26 aprile 2023,"$ 105,5741 USA"
25 aprile 2023,"$ 105,8464 USA"
24 aprile 2023,"$ 107,2051 USA"
21 aprile 2023,"$ 107,0877 USA"
20 aprile 2023,"$ 107,1819 USA"
19 aprile 2023,"$ 107,5299 USA"
18 aprile 2023,"$ 107,7420 USA"
17 aprile 2023,"$ 107,4808 USA"
14 aprile 2023,107.3998 $US
13 aprile 2023,107.4688 $US
12 aprile 2023,106.2937 $ USA
11 aprile 2023,106.3459 $US
10 aprile 2023,105.8791 $US
06 aprile 2023,105.9768 $US
05 aprile 2023,105.8076 $US
04 aprile 2023,106.2253 $ USA
03 aprile 2023,106.4290 $US
31 marzo 2023,106.0006 $ USA
30 marzo 2023,104.8949 $US
29 marzo 2023,104.0731 $US
28 marzo 2023,102.8089 $US
27 marzo 2023,102.6385 $US
24 marzo 2023,102.4179 $ USA
23 marzo 2023,102.6320 $US
22 marzo 2023,102.0573 $ USA
21 marzo 2023,102.7632 $ USA
20 marzo 2023,101.5414 $ USA
17 marzo 2023,"$ 100,9379 USD"
16 marzo 2023,$ 101.5188 USD
15 marzo 2023,$ 100.6594 USD
14 marzo 2023,$ 101.8152 USD
13 marzo 2023,"$ 101,0098 USD"
10 marzo 2023,$ 101.4017 USD
9 marzo 2023,"$ 102,6746 USD"
8 marzo 2023,"$ 103,8634 USD"
7 marzo 2023,"$ 103,9475 USD"
6 marzo 2023,$ 105.3587 USD
3 marzo 2023,$ 105.0367 USD
2 marzo 2023,"$ 103,6565 USD"
1 marzo 2023,$ 103.2784 USD
28 febbraio 2023,$ 103.2876 USD
27 febbraio 2023,$ 103.5466 USD
24 febbraio 2023,$ 103.1021 USD
23 febbraio 2023,$ 104.3091 USD
22 febbraio 2023,104.0119 USD
21 febbraio 2023,$ 104.5093 USD
20 febbraio 2023,$ 106.0434 USD
17 febbraio 2023,$ 105.8499 USD
16 febbraio 2023,$ 106.3340 USD
15 febbraio 2023,$ 107.0592 USD
14 febbraio 2023,$ 107.0897 USD
13 febbraio 2023,"$ 106,9790 USD"
10 febbraio 2023,"$ 106,1072 USA"
9 febbraio 2023,$ 106.4667 USD
8 febbraio 2023,"$ 106,7894 USD"
7 febbraio 2023,$ 107.3221 USD
6 febbraio 2023,$ 106.4159 USD
3 febbraio 2023,$ 107.6107 USD
2 febbraio 2023,"$ 108,6335 USD"
1 febbraio 2023,$ 107.3124 USD
31 gennaio 2023,"$ 106,3462 USD"
30 gennaio 2023,$ 105.6479 USD
27 gennaio 2023,"106,6033 USD"
26 gennaio 2023,"$ 106,3483 USD"
25 gennaio 2023,$ 105.5369 USD
24 gennaio 2023,$ 105.4783 USD
23 gennaio 2023,$ 105.4248 USD
20 gennaio 2023,$ 104.4126 USD
19 gennaio 2023,"$ 102,9920 USD"
18 gennaio 2023,"$ 103,9705 USD"
17 gennaio 2023,"$ 104,6737 USD"
